old_path	classification	new_path	current_or_historical	reason	dependencies_found	action	files_on_disk_governed	tracked_files_governed
.DS_Store	current_documentation	.DS_Store	current	Finder metadata (ignored); stays with its directory	none found	keep	1	0
.gitignore	current_documentation	.gitignore	current	repository ignore rules; negation patterns for tracked evidence are re-pointed to the new locations	negations name Matlab/reproduction2007, examples/Performance/equivalence, analysis/iteration_efficiency_phase2i_precision_qualification, examples/Revision_v1	keep	1	1
BENCHMARK_FAIRNESS_AUDIT.md	historical_document	development/historical_documents/repository_root/BENCHMARK_FAIRNESS_AUDIT.md	historical	benchmark methodology audit (2026-08)	none found	git mv	1	1
BENCHMARK_PROTOCOL_R3.md	historical_document	development/historical_documents/repository_root/BENCHMARK_PROTOCOL_R3.md	historical	protocol of the superseded r3 benchmark	none found	git mv	1	1
DIAGNOSTIC_REPRO2007_BENCHMARK.md	historical_document	development/historical_documents/repository_root/DIAGNOSTIC_REPRO2007_BENCHMARK.md	historical	diagnosis of the repro2007 benchmark path	none found	git mv	1	1
MIGRATION_REPRODUCTION2007_REPORT.md	historical_document	development/historical_documents/repository_root/MIGRATION_REPRODUCTION2007_REPORT.md	historical	migration report of Matlab/reproduction2007	none found	git mv	1	1
Matlab	reconstruction	development/reconstruction/Matlab	historical	Matlab/reproduction2007 = clean-room Du-Olhoff 2007 reproduction (HISTORICAL in OLHOFF_IMPLEMENTATION_MAP, blocked from production); README.md, full_coupling/, legacy/ are signposts to historical generations	run_topopt_from_json key OlhoffDu2007Repro (retired); olhoffcurrent_forbidden_paths; test_path_isolation/test_source_integrity/confbench_selftest use it as a CONTAMINANT; .gitignore negations	git mv	77	77
OLHOFF_BENCHMARK_EQUIVALENCE_REPORT.md	historical_document	development/historical_documents/repository_root/OLHOFF_BENCHMARK_EQUIVALENCE_REPORT.md	historical	r3-era Olhoff benchmark-path equivalence report	none found	git mv	1	1
OLHOFF_NATIVE_CONVERGENCE_DETECTOR.md	historical_document	development/historical_documents/repository_root/OLHOFF_NATIVE_CONVERGENCE_DETECTOR.md	historical	native-convergence detector audit	none found	git mv	1	1
OLHOFF_PRACTICAL_CONVERGENCE_AUDIT.md	historical_document	development/historical_documents/repository_root/OLHOFF_PRACTICAL_CONVERGENCE_AUDIT.md	historical	practical-convergence audit	none found	git mv	1	1
OlhoffFable.txt	historical_document	development/historical_documents/repository_root/OlhoffFable.txt	historical	pasted session notes (worktree explanation, sweep summaries), 2026-09-14; ignored	none found	mv (no tracked files)	1	0
PROPOSED_NATIVE_PROFILE_AUDIT.md	historical_document	development/historical_documents/repository_root/PROPOSED_NATIVE_PROFILE_AUDIT.md	historical	Proposed native-profile audit	none found	git mv	1	1
